compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,response
PP121 0.5uM,4.78,6.15,3.9,88.53,97.61,65.74,32.87,10.86,33.78,7.83,5.39,4,62.49,98.51,95.28,99.28,84.8,85.73,4.33,14.5,9.37,1.46,92.72,98.94,12.59,60.84,84.99,97.87,2.34,94.75,100,99.99,100,93.44,97.28,93.3,100,100,100,86.5,95.35,98.49,89.87,84.31,97.98,100,97.98,90.74,89.06,100,94.93,99.04,99.7,86.79,100,92.59,19.1,8.09,5.33,88.35,96.79,93.21,84.06,98.36,81.97,89.36,98.31,76.24,100,58.98,100,100,100,98.82,14.51,100,98.25,93.29,91.72,94.85,84,94.67,40.41,24.88,32.8,59.74,36.48,38.61,17.12,48.35,57.25,20.1,32.65,22.57,13.69,77.62,65.47,100,90.74,65.75,84.71,88.25,8.35,6.75,31.3,26.15,2.19,20.17,71.16,4.82,27.61,2.31,1.64,16.53,95.59,99.94,100,100,99.45,87.59,81.74,90.15,26.71,6.12,60.45,100,99.15,96.41,96.51,43.79,100,96.39,90.13,47.75,84.21,91.95,31.94,81.11,67.07,53.31,80.53,98.37,88.21,100,5.22,53.81,8.26,36.63,72.25,17.66,12.78,1.87,6.91,100,96.65,99.28,79.91,68.39,78.05,69.64,93.22,69.91,29.54,34.04,11.76,76.73,94.67,71.76,97.06,71.5,76.48,56.99,100,95.13,92.98,91.58,92.31,93.06,100,24.04,32.26,20.42,18.42,91.87,55.98,52.82,67.17,92,74.13,92.73,92.6,100,91.06,32.65,94.13,88.59,99.06,100,99.01,99.81,94.12,92.14,90.02,96.62,85.79,80.31,100,91.2,99.48,46.89,35.62,70.75,94.53,96.72,94.67,95.96,87.6,86.12,89.72,64.01,94.13,71.38,79.67,33.76,43.66,87.61,51.2,27.45,24.57,93.46,60.44,15.83,94.25,93.57,95.31,98.89,96.86,73.47,95.07,87.88,100,64.73,5.33,0,47.58,88.11,51.46,63.94,99.61,72.49,97.49,91.44,92.66,94.21,93.21,98.5,97.03,5.01,15.23,74.92,81.24,100,97.71,90.82,91.1,8.59,79.04,98.8,99.36,90.97,98.1,73.62,79.9,62.99,98.3,57.23,25.03,100,94.84,87.99,89.42,79.39,95.4,8.98,39.16,43.59,84.87,95.93,99.55,100,81.59,94.87,28.97,47.2,1.38,8.09,99.36,97.9,47.89
Regorafenib (BAY 73-4506) 0.5uM,66.55,85.89,77,98.97,97.4,100,92.62,92.13,92.46,91.34,98.44,0.13,93.68,88.78,100,73.99,88.82,99.59,92.45,94.28,0.66,98.06,99.16,97.34,90.02,58.97,91.57,84.04,90.09,100,97.01,100,93.85,100,100,94.16,99.32,84.03,87.37,89.33,94.64,96.78,91.98,97.76,94.7,93.6,97.18,95.71,94.67,96.67,93.74,100,100,95.97,79.07,94.1,100,94.61,100,98.27,95.1,98.63,91.62,100,95.87,100,100,93.05,100,86.65,89.83,100,100,100,10.77,100,100,100,99.84,95.27,95.24,99.11,99.3,67.44,65.97,76.82,69.07,80.16,38.94,60.48,85.49,71.68,70.09,90.67,68.94,100,96.15,96.18,97.53,99.84,89.85,94.46,59.14,31.83,73.05,90.56,83.78,16.58,36.58,18.5,3.82,79.67,86.52,91.36,97.65,100,100,100,100,95.41,92.49,95.19,100,91.01,81.91,93.56,97.15,83.59,5.21,95.74,100,100,93.23,95.59,100,99.45,93.11,98.94,100,95.67,100,99.48,93.66,100,10.91,48.9,50.86,46.76,100,44.9,93.31,60.36,80.34,94.98,100,94.9,97.16,98.62,100,100,100,84.08,86.51,96.73,98.76,100,100,95.96,91.87,95.61,96.13,81.25,88.91,84.09,100,100,100,98.21,91.24,93.97,100,100,96.28,99.39,100,88.91,88.83,100,88.3,96.35,94.45,100,97.96,95.02,97.49,31.53,19.61,100,100,91.24,100,99.33,100,99.32,95.35,99.68,100,93.48,94.21,14.45,8.24,100,95.14,97.78,97.33,100,100,96.65,100,97.46,100,100,97.14,99.51,99.54,96.6,100,99.36,96.99,85.49,96.78,96.24,86.15,80.42,99.4,95.69,96.9,97.26,94.05,94.01,98.39,91.14,0,1.25,73.76,100,100,97.09,100,99.31,95.76,94.39,92.21,100,100,100,100,78.81,83.03,94.71,100,100,100,100,100,100,98.98,88.87,92.33,98.81,76.08,86.69,59.98,66.4,93.15,96.73,95.7,100,100,63.38,71.99,56.05,96.42,93.27,100,100,100,99.65,95.34,91.37,100,99.8,97.97,100,82.29,10.43,93.54,100,59.98
ROCK Inhibitor Y-27632 0.5uM,97.72,94.61,100,86.23,92,97.33,94.83,100,98.42,99.56,97.98,100,91.65,100,94.57,93.91,94.94,97.72,95.49,91.23,92.9,86.33,93.12,92.69,100,93.8,89.23,94.23,100,100,93.89,93.75,99.26,100,96.53,90.15,100,93.71,85.3,100,84.86,100,93.18,95.22,97.1,96.81,91.56,89.63,96.56,95.08,85.67,97.95,100,85.67,91.05,95.56,100,92.56,92.04,99.58,99.53,98.54,96.6,88.03,91.11,96,98.65,87.32,98.43,100,95.95,100,94.8,96.72,92.03,98.97,100,100,92.48,95.18,98.72,94.24,96.07,100,100,95.5,88.68,91.41,90.54,88.86,91.41,94.98,78.9,95.89,95.47,100,93.46,97.99,99.59,97.55,84.97,100,92.08,95.73,100,100,88.77,90.1,90.76,100,97.04,95.86,91.73,94.4,99.15,93.78,94.59,100,91.38,88.12,100,100,92.38,97.91,94.21,100,99.87,79.09,100,75.48,92.24,98,97.64,94.39,100,85.47,97.19,95.83,100,97.69,93.54,97.09,100,100,88.75,100,91.8,85.81,91.19,88.88,67.79,98.85,97.29,96.75,97.02,90.78,94.11,92.83,97.43,100,100,93.93,100,100,94.96,90.04,92.47,97.41,97.07,96.22,98.93,99.11,94.96,79.14,83.35,99.31,85.76,96.79,99.07,92.39,75.66,100,96.41,86.78,83.5,100,100,88.7,85.1,87.71,94.65,100,93.1,85.58,90.07,100,96.67,96.03,97.6,92.42,93.5,93.27,96.6,96.47,90.35,85.66,92.92,92.49,56.68,87.15,98.4,100,94.27,95.66,96.86,95.83,97.02,97.81,88.82,97.75,100,100,66.44,40.23,54.46,100,100,97.52,87.27,93.46,99.22,96.28,73,83.54,85.17,41.68,59.66,93.91,91.2,86.53,63.33,89.22,100,94.41,100,100,31.52,26.3,94.58,97.38,84.94,73.12,71.51,93.88,96.91,100,98.39,96.94,94.73,100,99.01,98.96,87.82,98.07,100,95.75,100,100,95.77,100,96.8,96.64,99.44,92.09,90.94,98.73,100,99.58,96.94,100,100,93.57,97.42,98.9,90.72,89.9,97.94,59.3,100,100,100,100,100,94.87,98.35,94.14,88.99,90.66,94.29908
SB 218078 0.5uM,72.66,68.05,2.39,63.9,48.52,27.14,36.91,78.58,85.82,100,100,100,2.09,56.2,22.28,9.52,36.48,38.13,37.68,27.48,100,83.92,14.81,13.56,43.26,60.84,13.63,76.89,69.51,69.74,50.49,33.57,56.53,2.84,9.85,7.03,8.36,98.71,27.21,7.93,61.65,29.86,15.64,28.55,71.48,11.18,22.23,27.97,23.32,6.06,19.91,80.4,15.76,8.52,3.63,13,100,93.77,47.33,96.1,81.83,100,16.74,4.47,43.08,52.12,97.02,20.32,94.63,79.7,91.75,32.66,39.35,89.62,80.13,98.85,8.65,8.74,3.15,5.94,16.58,87.77,78.34,90.12,91.26,96.53,91.44,78.68,63.93,69.21,89.87,80.21,98.38,93.23,75.42,98.38,72.46,100,88.68,23.48,5.39,42.08,29.13,34.11,36.32,70.4,30.86,13.31,0.19,4.97,29.34,100,59.91,3.75,97.92,100,77,88.73,55.58,53.41,2.19,4.6,18.46,24.79,0.99,93.61,32.57,49.89,29.15,63.79,100,97.84,23.86,17.19,37.52,14.04,7.16,8.29,22.22,14.19,1.87,98.53,96.15,100,4.55,2.69,36.21,49.34,50.46,9.25,1.91,35.38,73.59,99.24,93.06,80.43,10.43,4.88,8.53,5.31,29.48,87.94,13.97,18.37,7.13,0.9,19.27,4.01,7.76,8.72,2.66,1.37,48.64,9.71,84.03,100,9.88,12.36,63.63,3.56,3.22,14.25,20.52,25.83,19.07,50.86,60.63,93.76,100,22.03,93.08,99.12,23.41,74.13,92.41,100,100,100,100,2.38,35.01,23.61,43.9,41.67,75.29,64.66,85.4,43.27,39.85,32.83,19.08,10.62,2.75,75.57,0.44,1.86,0.24,44.74,39.81,13.94,22.47,6.42,19.05,28.44,47.62,32.85,86.42,1.89,0,43.17,87.41,2.02,35.65,41.29,6.01,2.68,15.9,50.22,62.39,52.49,17.46,41.51,100,3.21,79.65,45.54,88.7,73.67,87.75,1.6,1.58,2.35,1.33,1.08,23.85,18.57,71.7,33.92,25.97,52,100,88.08,100,58.05,17.7,34.36,12.73,46.19,88.33,15.79,6.06,66.92,57.41,24.47,7.4,100,70.34,94.13,14.11,4.98,6.87,1.41,87.15,22.69,21.81,4.32,55.28,73.13,89.1,33,90.16,16.86,93.57,85.98,31.86,89.7,88.44,24.58,59.45416
Sorafenib 0.5uM,90.43,99.37,97.6,96.17,100,94.22,97.27,100,98.73,100,94.13,7.04,100,100,100,63.13,100,100,99.08,93.26,19.41,96.92,95.82,100,100,53.28,88.19,100,95.61,100,94.67,100,100,95.33,96.66,100,100,100,100,100,100,98.52,99.71,98.18,96.46,96.17,100,97.19,99.92,91.8,100,100,100,98.33,100,100,97.81,100,95.92,100,88.9,99.84,100,94.43,97.73,92.75,99.31,95.24,93.55,90.32,100,100,100,100,3.41,93.16,96.02,100,93.17,98.88,92.68,100,95.09,87.67,83.85,95.47,92.55,99.4,41.99,80.7,94.49,100,93.15,95.51,86.81,100,94.85,100,100,100,100,100,90.93,72.71,89.46,100,88.73,50.49,9.22,42.96,5.55,81.75,91.64,100,100,98.38,100,97.83,100,97.3,100,100,99.28,90.33,96.12,99.69,87.83,85.72,4.85,94.28,99.82,88.35,89.83,100,100,99.58,100,100,100,98.16,99.36,92.8,94.85,94.18,36.93,56.98,81.24,76.75,100,72.38,100,88.13,98.76,100,100,95.77,80.27,94.86,100,98.06,100,89.68,100,100,93.6,100,96.86,93.66,96.11,100,100,98.26,75.15,70.27,85.25,100,100,97.69,88.44,100,96.85,100,100,100,85.62,88.81,100,99.34,97.18,99.47,100,98.22,95.44,99.09,100,40.18,46.88,97.48,94.21,91.41,100,100,100,100,91.85,95.86,100,99.52,97.47,7.77,12.03,95.77,94.28,91.26,97.05,100,100,92.6,100,96.84,95.1,97.54,100,96.41,100,94.7,89.9,99.74,94.03,100,94.51,96.15,88.58,100,90.87,100,94.19,98.08,100,99.3,97.68,100,1.35,1.78,86.17,97.71,100,100,97.6,95.67,100,100,93.26,97.26,95.18,100,100,100,96.84,100,100,98.63,100,100,98.73,100,83.94,99.82,95.73,100,100,82.04,36.88,63.48,98.6,100,99.87,100,84.83,76.09,89.97,65.54,100,100,99.91,98.92,91.73,94.3,100,100,99.28,100,100,99.25,82.79,16.69,97.8,92.87,86.6705
Src Kinase Inhibitor I 0.5uM,81.79,96.35,48.96,100,99.44,100,100,100,93.72,97.48,97.09,73.33,100,100,79.24,50.89,93.87,98.16,9.95,76.08,79.59,0,98.67,100,38.83,75.56,51.2,90.81,82.77,100,97.72,99.69,100,100,98.22,97.19,94.03,97.83,93.15,100,92.15,81.19,100,87.77,98.51,100,98.39,88.85,100,95.07,100,100,96.72,86.68,97.41,29.61,98.2,100,100,90.03,99.89,99.43,100,98.24,100,100,100,100,68.94,18.82,94.29,100,100,99.47,97.93,100,96.34,84.58,96.98,100,100,97.3,31.63,95.57,100,100,100,85.29,64.83,99.97,97.43,100,99.69,100,85.51,29.51,8.79,100,99.82,98.05,75.66,99.57,85,93.74,87.06,77.76,8.91,79.82,3.23,62.5,99.99,72.17,26.9,100,100,91.85,97.05,97.37,99.64,100,96.97,100,92.04,13.54,90.55,100,94.83,100,91.76,100,100,100,100,88.83,100,100,100,93.55,100,95.65,93.05,91.8,99.05,100,92.08,70.64,4.72,89.02,93.59,73.97,65.29,21.6,42.57,100,98.95,97.96,93.27,95.29,100,100,85.92,100,100,94.46,100,100,100,100,100,57.72,96.69,68.46,98.94,47.93,95.44,100,100,94.42,94.83,100,100,91.56,100,89.77,100,100,74.82,100,98.35,96.83,93,100,97.78,100,97.53,100,100,100,100,100,97.4,98.21,78.74,98.12,98.29,100,100,100,92.55,88.85,95.63,100,91.85,100,100,100,96.93,100,100,100,100,92.8,96.85,94.59,87.29,84.56,100,95.59,95.82,100,100,100,92.52,93.58,98.34,97.3,93.64,96.41,100,97.1,95.15,89.04,88.92,40.65,55.49,91.64,100,99.3,95.7,95.35,97.61,97.77,97.97,100,100,100,100,97.72,88.73,100,31.63,100,100,100,100,100,96.27,100,100,98.63,100,100,97.76,100,93.72,43.27,100,99.67,100,100,100,99.66,100,77.97,98.31,100,83.39,89.52,97.8,94.74,98.25,99.06,88.15,87.83,7.96,95.18,97.05,96.92,97.32321
Staurosporine 0.5uM,23.01,5.25,2.17,7.49,5.51,2.97,0.86,83.74,91.87,100,100,100,1.59,4.72,2.43,4.3,5.21,13.27,1.57,6.22,100,32.6,0.52,3.53,7.82,8.67,2.63,32.74,1.46,2.22,4.82,0.89,4.71,0.47,1.64,3.05,0.7,34.82,0,0.24,2.7,10.22,0.25,8.5,8.24,5.05,15.98,2.78,1.92,1.02,11.71,43.78,9.24,1.38,1.63,1.33,79.71,91.23,78.21,91.45,75.74,96.05,87.9,66.62,11.88,3.71,85.99,6.62,100,8.01,75,3.55,4.07,11.03,3.83,4.83,3.12,4.6,0.85,69.87,31.33,96.16,32.45,31.03,21.33,13.99,6.7,9.28,5.57,11.52,25.67,11.97,27.6,75.16,37.57,35.87,48.8,97.21,97.45,4.34,0.82,4.11,1.71,3.25,3.69,47.2,0.27,7.88,1.12,4.29,1.76,5.5,3.59,0.53,56.82,50.31,20.52,20.79,7.36,0.74,5.78,4.4,6.94,3.26,1.91,96.48,84.68,100,55.34,14.78,40.33,53.43,0.3,3.14,7.47,3.46,1.71,2.89,2.07,1.85,0.74,100,100,100,4.46,0.46,1.84,5.51,18.65,0.28,1.01,1.18,5.72,40.4,85.14,45.97,0.21,0.02,0.72,0,3.83,8.43,1.25,5.41,0.97,1.57,15.22,2.18,7.59,7.1,3.26,1.09,20.33,5,1.75,1.99,1.24,6.74,79.63,0,1.11,1.6,4.43,12.21,2.77,3.99,37.02,79.9,91.92,46.8,88.63,95.78,27.18,20.53,14.2,100,98.83,86.64,100,0.14,4.7,1.59,0.68,2.37,4.95,2.34,4.74,3.74,27.77,2.11,2.28,4.41,1.43,3.42,1.47,10.4,0.63,1.93,3.05,1.23,4.13,3.03,5.61,0.8,0.41,0,4.59,1.42,0.98,2.81,21.98,1,5.01,3.31,7.12,0.15,2.96,36.88,94.75,37.79,3.5,2.71,100,0.64,46.96,18.72,0.61,0.72,44.75,0.86,3.52,0,1.61,1.67,8.59,7.77,23.47,0.14,1.83,20.35,100,17.84,40.95,48.4,1,3.22,10.67,10.02,8,4.66,7.96,0.93,1.02,2.11,0,91.13,100,22,2.83,0.77,0.37,0.99,1.18,7.33,0.54,1.85,7.27,3.27,2.7,1.82,84.12,73.1,93.14,73.62,4.48,98.32,5.36,1.91,6.197702
Sunitinib (free base) 0.5uM,47.24,61.78,64.11,100,87.36,71.68,16.62,100,100,100,100,100,2.75,100,59.66,48.72,72.82,27.41,28.66,99,100,84.49,45.15,54.53,50.19,8.74,39.82,90.96,39.81,75.19,98.47,77.9,67.03,14.46,46.66,11.56,25.07,88.63,52.06,65.25,98.43,100,92.14,96.35,91.01,80.96,93,69.02,89.13,50.46,59.71,73.39,80.18,88.7,29.2,7.13,53.97,31.77,46.95,55.93,100,30.02,100,92.18,23.26,13.59,100,26.32,100,90.17,88.84,66.85,100,85.02,100,97.74,26.74,56.86,59.97,82.57,58.21,100,89.17,95.12,83.62,83.96,84.49,87.6,29.55,50.79,92.12,53.59,72.06,77.43,65.53,100,94.81,100,98.48,27,31.57,33.67,66.14,50.48,39.73,92.51,16.44,58.72,2.71,17.36,7.28,84.45,71.31,34.44,94.71,94.8,75.79,85.3,74.68,71.25,85.51,95.78,53.17,39.95,12.44,71.29,41.32,47.26,74.66,62.55,92.36,80.96,45.57,51.17,31.41,27.4,21.69,64.35,71.88,88.82,80.67,91.84,96.74,99.52,28.67,4.06,13.24,94.26,97.2,31.22,3.34,23,34.63,93.22,100,82.74,40.94,40.6,30.35,24.74,67.8,25.41,51.88,42,10.39,10.46,75.85,25.61,7.74,87.89,100,68.4,99.35,99.33,89.52,100,60.05,50.84,100,10.7,24.8,39.71,100,51.26,54.48,72.6,100,100,91.57,94.08,89.04,93.52,100,100,100,100,99.95,92.39,95.76,42.32,100,100,98.11,100,80.93,81.55,100,100,100,10.85,17.64,81.56,5.12,20.55,94.44,97.16,56.81,89.1,100,79.88,90.16,100,95.08,97.95,100,83.81,100,20.02,16.57,63.49,91.71,21.14,65.35,88.75,96.06,71.42,89.13,96.36,99.17,96.5,100,38.33,100,3.43,100,100,99.65,72.1,92.01,71.58,28.05,35.46,17.34,17.51,62.78,93.15,100,27.84,63.84,65.01,99.6,97.04,94.98,55.75,20.67,76.06,31.82,93.85,87.36,89.19,18.64,71.46,90.31,82.92,100,94.83,92.46,88.57,63.31,11.46,9.78,2.37,72.91,92.62,34.39,52.6,28.31,16.28,40.31,57.42,97.28,91.84,100,94.26,5.91,97.77,97.22,74.21,71.56988
"TGFb RI Kinase Inhibitor (LY364947, HTS 466284) 0.5uM",77.09,67.8,96.24,100,92.97,92.6,100,100,100,43.22,41.6,91.54,95.45,100,95.39,96.04,100,100,99.94,89.18,95.69,70.92,99.01,100,100,93.5,92.57,94.1,94.72,96.05,98.31,99.98,100,100,97.24,100,85.9,97.45,100,97,82.74,100,98.67,91.33,94.2,100,100,97.2,98.61,91.06,98.21,100,98.73,80,99.68,96.61,74.57,44.18,53.89,92.19,100,95.99,96.29,96.72,100,99.44,100,100,91.11,100,87.92,100,100,97.44,95.07,100,100,90.93,100,100,100,100,81.84,97.7,100,99.34,98.04,94.94,98.78,91.36,94.61,98.67,100,97.13,89.11,100,85.74,100,100,99.26,86.01,100,94.19,100,97.44,80.6,91.91,81.36,91.2,92.23,95.54,92.84,100,100,100,100,94.35,100,94.59,100,95.12,95.25,90.83,98.49,48.31,99.9,91.25,97.01,89.87,100,94.2,100,100,86.73,100,87.69,100,100,96.72,100,92.73,100,98.89,92.9,100,87.4,91.66,100,82.61,90.13,93.7,87.83,100,100,92.91,95.58,79.2,100,87.46,100,93.65,100,91.18,79.38,93.26,84.07,100,100,98.32,90.4,100,96.54,75.91,81.9,100,100,100,87.25,88.95,100,100,96.83,83.37,93.4,91.7,100,91.8,96.97,90.21,95.85,100,100,94.75,79.8,85.29,95.99,100,100,100,100,100,96.31,56.98,99.71,76.92,97.12,100,77.05,91.92,98.14,100,93.84,94.19,97.72,100,100,90.57,100,92.89,98.52,100,92.12,96.6,100,94.56,100,99.04,63.03,56.07,100,100,66.94,92.71,86.03,89.23,100,91.36,100,98.94,91.66,100,96.15,89.46,93.85,64.71,98.33,100,100,99.91,100,88.06,100,96.25,100,100,100,97.43,94.79,100,100,100,98.39,97.15,100,100,96.89,92.9,100,88.67,99.74,98.42,92.96,96.84,92.76,92.56,100,100,98.77,98.56,100,100,92.69,83.49,89.13,92.84,100,100,85.91,95.56,85.27,92.63,91.09,49.25,100,93.35,78.01,100,100,100
Tivozanib (AV-951) 0.5uM,4.96,14.2,25.35,100,100,100,86.37,89.29,97.91,92.42,98.04,89.22,96.85,88.33,33.22,8.8,25.42,36.45,13.61,63.71,92.38,2.38,99.62,99.74,69.24,32.28,46.08,1.9,27.52,100,94.98,78.77,91.81,100,92.55,98.63,98.55,91.61,92.67,80.47,95.26,95.93,90.72,95.43,97.47,94.63,100,98.18,98.36,92.25,100,100,100,91.85,87.07,77.1,98.13,93.3,59.85,98.08,97.51,95.36,91.2,94.31,100,100,99.19,87.54,100,46.6,92.85,94.2,100,100,3.04,100,99.18,99.26,100,98.59,100,100,87.36,52.43,9.03,21.06,19.67,15.02,7.01,20.36,36.49,22.67,5.14,62.06,11.96,100,91.9,98.03,100,100,60.78,81.72,61.58,48.98,74.31,70.64,6.88,8.09,62.46,2.54,4.64,3.28,45.21,61.95,96.67,94.8,100,100,98.65,95.37,97.4,100,97.96,8.36,68.91,97.51,99.14,100,45.33,93.96,100,100,98.52,77.7,100,100,87.33,97.59,100,97.57,100,100,98.33,100,1.7,3.45,4.7,65.99,100,14.1,70.52,2.94,7.28,100,98.21,100,98.23,100,100,100,63.04,34.52,81.21,99.12,99.74,77.02,100,91.91,83.03,88.71,100,73.28,100,95.07,100,98.08,100,100,100,92.11,100,99.99,100,99.49,94.75,85.92,90.93,100,100,94.88,91.09,100,100,78.85,92.59,53.18,22.68,100,100,97.69,100,99.74,100,97.61,98.76,95.59,98.13,93.04,93.59,5.87,2.45,100,90.12,100,98.92,100,94.88,98.94,100,98.86,100,99.98,98.74,95.1,98.23,96.69,100,93.96,90.26,83.42,100,90.58,87.45,83.76,100,92.56,93.2,98.28,100,94.6,98.42,77.55,67.18,1.25,54.71,96.9,100,81.19,79.34,18.21,99.29,95.52,93.06,100,97.31,100,100,91.04,18.74,100,67.41,100,100,100,95.97,100,98.95,85.62,91.63,93.85,100,92.85,92.17,92.28,94.1,97.14,100,81.58,100,22.04,14.56,11.61,95.59,77.92,88.87,98.98,79.56,100,89.84,87.59,100,84.13,83.62,88.28,24.61,62.1,95.15,98.77,73.74
Tofacitinib 0.5uM,100,90.51,87.07,90.27,98.03,85.83,100,100,100,99.76,98.83,100,71.18,97.83,84.13,99.25,85.31,97.7,92.53,100,93.69,100,100,86.94,98.72,98.86,100,86.66,99.77,99.27,100,100,97.81,99.64,96.61,98.17,100,96.25,100,97.66,95.9,90.84,89.52,90.7,92.27,94.13,99.91,100,99.45,96.45,100,100,100,100,94.12,100,99.74,86.02,100,100,95.4,100,100,96.58,99.5,85.77,100,100,93.5,100,66.89,100,89.5,96.63,100,100,100,100,96.97,100,100,97.22,95.96,97.97,95.75,94.09,99.06,99.94,98.98,89.04,100,100,100,54.86,89.83,100,100,98.62,88.63,100,100,100,100,91.68,95.27,94.28,91.09,100,77.86,97.52,100,100,93.96,100,95.26,99.23,93.47,100,100,100,100,99.58,77.94,88.3,100,98.07,96.9,99.99,96.24,93.1,94.96,88.18,94.77,100,93.93,88.48,97.47,99.14,2.3,5.14,1.93,100,100,100,100,100,80.24,81.96,100,92.9,51.35,96.35,98.59,96.63,100,97.32,100,91.83,78.64,81.68,100,100,100,100,79.44,100,99.42,89.95,98.97,100,100,100,89.94,97.38,100,95.41,94.83,100,100,95.49,85.77,96.15,100,100,89.31,84.64,91.69,100,94.48,96.04,83.19,93.99,96.2,100,98.25,93.36,100,93.77,96.73,100,100,100,100,100,99.17,93.64,100,100,100,100,95.1,94.07,90,98.64,100,100,96.47,96.54,100,78.73,100,88.11,75.29,98.51,100,90.56,100,97.32,89.78,89.03,91.72,92.61,82.05,87.79,100,16.5,85.55,100,100,99.08,100,100,95.46,92.43,100,98.41,90.13,69.86,100,94.09,90.91,96.99,89.66,98.15,100,100,98.06,89.23,89.23,80.25,95.82,99.77,90.66,94.69,85.05,97.18,97.78,95.68,95.14,100,87.46,99.93,100,94.87,92.53,95.44,98.76,96.58,94.41,94.13,97.08,90.04,87.91,98.42,96.02,12.04,100,83.05,92.04,100,100,97.72,100,100,87.06,98.18,100,100,100
